no,date,open,high,low,close,volume
371,2015-07-30,288.51,289.9,285.59,287.37,8829.2943
372,2015-07-31,287.37,289.2,280.45,284.25,9270.805
373,2015-08-01,284.42,284.9,275.66,279.43,7630.708
374,2015-08-02,279.43,282.78,275,281.24,8612.152
375,2015-08-03,281.24,284.54,278.25,280.27,10067.9505
376,2015-08-04,280.28,286.54,280.27,285.14,9063.731
377,2015-08-05,285.14,286.06,281.2,282.15,8486.749
378,2015-08-06,282.1,282.2,277.4,278.8,6827.03
379,2015-08-07,278.92,280.91,275.39,280.9,6217.925
380,2015-08-08,280.9,280.99,258.7,260.02,10667.793
381,2015-08-09,260.23,266.01,258.7,263.13,9884.798
382,2015-08-10,263.09,267.18,260.69,264.44,10772.842
383,2015-08-11,264.44,270.57,262,269.71,12365.874
384,2015-08-12,269.62,272.4,263.39,264.85,14653.06
385,2015-08-13,264.77,266.76,261.01,262.94,14264.352
386,2015-08-14,262.9,267.72,259,264.6,12961.519
387,2015-08-15,264.6,266.56,258.99,260.67,10679.689
388,2015-08-16,260.67,262.07,255.4,256.53,15118.251
389,2015-08-17,256.53,259.43,249.02,257,12368.483
390,2015-08-18,256.92,257.3,214.49,221.58,27467.841
391,2015-08-19,221.58,237.47,221.32,227.24,38987.808
392,2015-08-20,227.24,238.9,226.53,234.96,21277.097
393,2015-08-21,234.96,236.73,231.34,232.5,13100.02
394,2015-08-22,232.5,235.97,220.5,230.03,17141.879
395,2015-08-23,229.99,233.59,223.99,227.19,14003.332
396,2015-08-24,227.29,228.71,208.44,210.36,69174.128
397,2015-08-25,210.3,224.6,195.6,219.5,31130.10812286
398,2015-08-26,219.5,230.64,218.36,224.61,13827.005
399,2015-08-27,224.61,228.55,222.1,223.96,8914.724
400,2015-08-28,223.96,234.64,220,231.36,11319.836
401,2015-08-29,231.32,233.65,226.38,229.74,6176.523
402,2015-08-30,229.74,232.09,224.77,229.09,6264.042
403,2015-08-31,229.02,232.08,225,229.66,8196.718
404,2015-09-01,229.66,230.95,226,227.68,8497.625
405,2015-09-02,227.68,230.81,225.75,229.44,7307.2692
406,2015-09-03,229.45,229.87,225.92,227.08,6928.665
407,2015-09-04,227.08,231.6,226.71,230.41,7238.4008
408,2015-09-05,230.41,237,229,234.85,7414.946
409,2015-09-06,234.9,243.54,234.38,239.32,9472.898
410,2015-09-07,239.32,242.09,238.22,239.74,6202.288
411,2015-09-08,239.75,245.69,239.75,242.94,10325.5578
412,2015-09-09,242.93,245.2,237.55,238.95,8016.4317
413,2015-09-10,238.95,240.51,236,238.79,7069.257
414,2015-09-11,238.79,241.92,238.73,240.32,6810.691
415,2015-09-12,240.36,240.52,234.12,235.16,6129.15
416,2015-09-13,235.16,236.02,229.07,230.85,7179.543
417,2015-09-14,230.85,232.8,227,230.8,8177.61
418,2015-09-15,230.76,232.66,229.93,230.55,5685.3317
419,2015-09-16,230.56,231.55,226.02,229.3,6091.359
420,2015-09-17,229.3,234.74,228.73,233.16,8063.7561
421,2015-09-18,233.19,234.29,231.16,233,6088.829
422,2015-09-19,233,233.39,231,231.51,4856.078
423,2015-09-20,231.51,232.34,230.04,230.64,4385.936
424,2015-09-21,230.64,231.23,224.2,227.18,7533.991
425,2015-09-22,227.18,235.09,225.04,230.8,8376.259
426,2015-09-23,230.84,232.69,229.75,230.48,5397.099
427,2015-09-24,230.48,236.04,230.03,234.61,8368.771
428,2015-09-25,234.61,238,233.81,235.13,7454.992
429,2015-09-26,235.13,235.35,233.01,234.26,6430.4
430,2015-09-27,234.17,234.67,233.01,233.37,4305.475
431,2015-09-28,233.37,241.28,233.01,240.17,8744.848
432,2015-09-29,240.17,242,236.26,236.77,8048.402
433,2015-09-30,236.77,238.08,235.23,236.36,5327.035
434,2015-10-01,236.37,238.82,236.19,237.86,5615.54
435,2015-10-02,237.88,239.2,236.86,237.75,5544.025
436,2015-10-03,237.75,239.95,237.34,239.54,4542.206
437,2015-10-04,239.54,239.86,238.01,238.77,4056.774
438,2015-10-05,238.77,241.01,237.83,240.65,7165.9878
439,2015-10-06,240.65,248.36,240.45,246.83,8078.434
440,2015-10-07,246.83,247.89,243.08,243.42,6349.895
441,2015-10-08,243.42,245.37,242.78,243.45,5513.948
442,2015-10-09,243.44,245.22,243.01,244.88,5384.675
443,2015-10-10,244.86,245.78,243.42,245.45,5256.592
444,2015-10-11,245.45,248.33,245.22,247.85,5370.628
445,2015-10-12,247.85,248.69,245.61,246.48,6125.157
446,2015-10-13,246.48,253.3,244.38,251.17,9370.371
447,2015-10-14,251.17,255.07,249.48,253.29,7699.11
448,2015-10-15,253.29,257.53,253,255.83,7728.022
